分类,imageID,workName,authorName,dynasty,instName,公开版权
女,2b676922-5f3e-11ed-b1c1-2d612f358c7a,锁谏图,佚名旧传唐阎立本(传),明代,佛利尔·赛克勒美术馆,否
女,2b67bd32-5f3e-11ed-b1c1-2d612f358c7a,心写治平图,郎世宁等参考《乾隆帝及后妃图卷》于善浦一文介绍，郎世宁和其弟子还有其他宫廷画师绘制了这件作品(传),清代,克利夫兰艺术博物馆,是
女,2b67c200-5f3e-11ed-b1c1-2d612f358c7a,橅古图册,陈洪绶,明代,克利夫兰艺术博物馆,是
女,2b67eec4-5f3e-11ed-b1c1-2d612f358c7a,西园雅集图,陈洪绶/华嵒,清代,故宫博物院,否
女,2b6825ce-5f3e-11ed-b1c1-2d612f358c7a,观音像,刘彦冲,清代,灵岩山寺,否
女,2b682b00-5f3e-11ed-b1c1-2d612f358c7a,千手观音像,华嵒,清代,南通博物苑,否
女,2b682c68-5f3e-11ed-b1c1-2d612f358c7a,倦绣图,任薰,清代,苏州博物馆,否
女,2b688a78-5f3e-11ed-b1c1-2d612f358c7a,洛神图,丁云鹏,明代,重庆中国三峡博物馆,否
女,2b688cb2-5f3e-11ed-b1c1-2d612f358c7a,祝寿图,陈洪绶,明代,重庆中国三峡博物馆,否
女,6149293c-4070-11ed-9adc-c934f75048ef,大悲神咒佛像,佚名,清代,普林斯顿大学图书馆,否
女,614962e4-4070-11ed-9adc-c934f75048ef,大悲神咒佛像,佚名,清代,普林斯顿大学图书馆,否
女,61499872-4070-11ed-9adc-c934f75048ef,大悲神咒佛像,佚名,清代,普林斯顿大学图书馆,否
女,614ba9dc-4070-11ed-9adc-c934f75048ef,春宫图画册,佚名,明代,,否
女,61580560-4070-11ed-9adc-c934f75048ef,柳枝观音像,佚名,明代,弗利尔美术馆,否
女,615aad2e-4070-11ed-9adc-c934f75048ef,孔子圣迹图,佚名,明代,孔子博物馆,否
女,615f4596-4070-11ed-9adc-c934f75048ef,群仙祝寿,佚名,清代,台北故宫博物院,是
女,6162f128-4070-11ed-9adc-c934f75048ef,李香君小像,佚名,清代,大英博物馆,是
女,625b1470-4070-11ed-9adc-c934f75048ef,临戴进谢安东山图,沈周,明代,上海博物馆,否
女,625f5fd0-4070-11ed-9adc-c934f75048ef,云华惜花图,陆灿、薛䲖,明代,故宫博物院,否
女,626ab9de-4070-11ed-9adc-c934f75048ef,大慈心陀罗尼,佚名,明代,台北故宫博物院,是
女,626b1280-4070-11ed-9adc-c934f75048ef,大慈心陀罗尼,佚名,明代,台北故宫博物院,是
女,626c708a-4070-11ed-9adc-c934f75048ef,梳妆图页,佚名,明代,,否
女,626eed7e-4070-11ed-9adc-c934f75048ef,赴会图东壁,佚名,明代,法海寺,否
女,626f166e-4070-11ed-9adc-c934f75048ef,鹦鹉仕女图,佚名,明代,圣路易斯艺术博物馆,否
女,6273d118-4070-11ed-9adc-c934f75048ef,文殊菩萨坐像,佚名,明代,,否
女,6273e8e2-4070-11ed-9adc-c934f75048ef,十一面千手观音像,佚名,明代,克利夫兰艺术博物馆,是
女,6277f31a-4070-11ed-9adc-c934f75048ef,毛女图,佚名,明代,费城艺术博物馆,否
女,62785e72-4070-11ed-9adc-c934f75048ef,观音,佚名,明代,克利夫兰艺术博物馆,是
女,627906ba-4070-11ed-9adc-c934f75048ef,等觉位十地菩萨像,佚名,明代,克利夫兰艺术博物馆,是
女,628695f0-4070-11ed-9adc-c934f75048ef,冯媛挡熊图,丁云鹏,明代,故宫博物院,否
女,6287dff0-4070-11ed-9adc-c934f75048ef,十六罗汉图,陈贤,明代,大都会博物馆,是
女,62888432-4070-11ed-9adc-c934f75048ef,人物图册,项元汴,明代,,否
女,628fce40-4070-11ed-9adc-c934f75048ef,仕女卷-画册,杜堇,明代,上海博物馆,否
女,6298fdd0-4070-11ed-9adc-c934f75048ef,秋风纨扇图,唐寅,明代,上海博物馆,否
女,629b1f2a-4070-11ed-9adc-c934f75048ef,红叶题诗仕女图,唐寅,明代,,否
女,629ed5fc-4070-11ed-9adc-c934f75048ef,女乐图,仇珠,明代,故宫博物院,否
女,62c8b034-4070-11ed-9adc-c934f75048ef,招仙图,张灵,明代,故宫博物院,否
女,62d06a7c-4070-11ed-9adc-c934f75048ef,明吴彬画楞严廿五圆通佛像册,吴彬,明代,台北故宫博物院,是
女,6333ae84-4070-11ed-9adc-c934f75048ef,搜山图,郑重,明代,大都会博物馆,是
女,633925da-4070-11ed-9adc-c934f75048ef,汉宫春晓图,仇英,明代,克利夫兰艺术博物馆,是
女,633abeb8-4070-11ed-9adc-c934f75048ef,临宋人画,仇英,明代,上海博物馆,否
女,633cd20c-4070-11ed-9adc-c934f75048ef,消夏图,仇英,明代,,否
女,633f973a-4070-11ed-9adc-c934f75048ef,宫女游园图,仇英,明代,克利夫兰艺术博物馆,是
女,63421eb0-4070-11ed-9adc-c934f75048ef,真禅内印顿证虚凝法界金刚智经.三卷.明宣德三年经折装写本(上),沈度,明代,台北故宫博物院,是
女,6343f320-4070-11ed-9adc-c934f75048ef,真禅内印顿证虚凝法界金刚智经.三卷.明宣德三年经折装写本(上),沈度,明代,台北故宫博物院,是
女,6344a90a-4070-11ed-9adc-c934f75048ef,真禅内印顿证虚凝法界金刚智经.三卷.明宣德三年经折装写本(上),沈度,明代,台北故宫博物院,是
女,63453762-4070-11ed-9adc-c934f75048ef,真禅内印顿证虚凝法界金刚智经.三卷.明宣德三年经折装写本(下),沈度,明代,台北故宫博物院,是
