来源,分类,合计,有版权,无版权
目录清单1,女,793,262,531
目录清单1,有男有女,607,167,440
目录清单1,点景人物,1399,404,995
目录清单1,男,2039,612,1427
目录清单1,疑似女,20,5,15
目录清单1,疑似男,32,10,22
目录清单1,疑似男女,20,2,18
目录清单1,非人哉,19,15,4
目录清单1,合计,4929,1477,3452
文件夹2,女,595,158,437
文件夹2,女_佛教人物,93,68,25
文件夹2,女_孩童,21,11,10
文件夹2,女_局部,23,20,3
文件夹2,女_点景人物,1,0,1
文件夹2,女_疑似非国画,8,0,8
文件夹2,女_神话人物,1,1,0
文件夹2,女_高糊,4,2,2
文件夹2,有男有女,657,210,447
文件夹2,有男有女_佛教人物,10,7,3
文件夹2,有男有女_孩童,8,3,5
文件夹2,有男有女_模糊,2,0,2
文件夹2,有男有女_点景人物,7,0,7
文件夹2,点景人物,1452,406,1046
文件夹2,点景人物_人物画,23,7,16
文件夹2,点景人物_存疑,26,4,22
文件夹2,男,2145,625,1520
文件夹2,男_存疑,73,21,52
文件夹2,合计,5149,1543,3606
文件夹3,女,722,236,486
文件夹3,有男有女,601,162,439
文件夹3,点景人物,1464,424,1040
文件夹3,男,1981,564,1417
文件夹3,男_存疑,51,26,25
文件夹3,合计,4819,1412,3407
文件夹4,女,585,166,419
文件夹4,有男有女,566,143,423
文件夹4,点景人物,1406,395,1011
文件夹4,男,2012,605,1407
文件夹4,女存疑,11,4,7
文件夹4,男存疑,14,6,8
文件夹4,男还是女存疑,3,2,1
文件夹4,合计,4597,1321,3276
