分类,imageID,workName,authorName,dynasty,instName,公开版权
女,2b676922-5f3e-11ed-b1c1-2d612f358c7a,锁谏图,佚名旧传唐阎立本(传),明代,佛利尔·赛克勒美术馆,否
女,2b67bd32-5f3e-11ed-b1c1-2d612f358c7a,心写治平图,郎世宁等参考《乾隆帝及后妃图卷》于善浦一文介绍，郎世宁和其弟子还有其他宫廷画师绘制了这件作品(传),清代,克利夫兰艺术博物馆,是
女,2b67c200-5f3e-11ed-b1c1-2d612f358c7a,橅古图册,陈洪绶,明代,克利夫兰艺术博物馆,是
女,2b67eec4-5f3e-11ed-b1c1-2d612f358c7a,西园雅集图,陈洪绶/华嵒,清代,故宫博物院,否
女,2b6825ce-5f3e-11ed-b1c1-2d612f358c7a,观音像,刘彦冲,清代,灵岩山寺,否
女,2b682b00-5f3e-11ed-b1c1-2d612f358c7a,千手观音像,华嵒,清代,南通博物苑,否
女,2b682c68-5f3e-11ed-b1c1-2d612f358c7a,倦绣图,任薰,清代,苏州博物馆,否
女,2b684d4c-5f3e-11ed-b1c1-2d612f358c7a,仕女图（六段）,杜堇,明代,上海博物馆,否
女,2b684e14-5f3e-11ed-b1c1-2d612f358c7a,仕女图（六段）,杜堇,明代,上海博物馆,否
女,2b688a78-5f3e-11ed-b1c1-2d612f358c7a,洛神图,丁云鹏,明代,重庆中国三峡博物馆,否
女,2b688cb2-5f3e-11ed-b1c1-2d612f358c7a,祝寿图,陈洪绶,明代,重庆中国三峡博物馆,否
女,2b68a206-5f3e-11ed-b1c1-2d612f358c7a,文殊图,张思恭(传),宋代,加利福尼亚大学伯克利分校艺术博物馆,否
女,2b68e572-5f3e-11ed-b1c1-2d612f358c7a,九歌图,佚名,宋代,波士顿艺术博物馆,否
女,2b68f472-5f3e-11ed-b1c1-2d612f358c7a,观音图,佚名,元代,出光美术馆,否
女,2b68f53a-5f3e-11ed-b1c1-2d612f358c7a,观音图,佚名,元代,出光美术馆,否
女,2b692cee-5f3e-11ed-b1c1-2d612f358c7a,内人双陆图,佚名,宋代,佛利尔·赛克勒美术馆,否
女,2b693892-5f3e-11ed-b1c1-2d612f358c7a,白衣观音图,月壶(传),元代,冈山县立美术馆,否
女,2b693c5c-5f3e-11ed-b1c1-2d612f358c7a,观音图,王振鹏(传),元代,根津美术馆,否
女,2b694544-5f3e-11ed-b1c1-2d612f358c7a,骷髅幻戏图,李嵩,宋代,故宫博物院,否
女,2b695c8c-5f3e-11ed-b1c1-2d612f358c7a,仙女乘鸾图,佚名,宋代,故宫博物院,否
女,2b699012-5f3e-11ed-b1c1-2d612f358c7a,鱼篮观音图,佚名,元代,故宫博物院,否
女,2b69a048-5f3e-11ed-b1c1-2d612f358c7a,蚕织图,佚名,宋代,黑龙江省博物馆,否
女,2b69a58e-5f3e-11ed-b1c1-2d612f358c7a,释迦三尊像,佚名,宋代,建长寺,否
女,2b69a818-5f3e-11ed-b1c1-2d612f358c7a,白衣观音图,正悟,元代,京都国立博物馆,否
女,2b69ca46-5f3e-11ed-b1c1-2d612f358c7a,月夜赏梅图,佚名,元代,辽宁省博物馆,否
女,2b6a20e0-5f3e-11ed-b1c1-2d612f358c7a,锁谏图,佚名,元代,天津博物馆,否
女,2b6a8652-5f3e-11ed-b1c1-2d612f358c7a,宋仁宗后坐像,,宋代,台北故宫博物院,是
女,2b6ab2a8-5f3e-11ed-b1c1-2d612f358c7a,九歌图,佚名,宋代,黑龙江省博物馆,否
女,6113e0a6-4070-11ed-9adc-c934f75048ef,人物龙凤帛画,佚名,先秦,,否
女,611b238e-4070-11ed-9adc-c934f75048ef,柳塘泛月图,佚名,宋代,故宫博物院,否
女,611b7ae6-4070-11ed-9adc-c934f75048ef,F1939.37-FS-8141_03,佚名,宋代,弗利尔美术馆,否
女,6134ab10-4070-11ed-9adc-c934f75048ef,群仙高会图,佚名,宋代,弗利尔美术馆,否
女,613d643a-4070-11ed-9adc-c934f75048ef,碧梧亭榭图,佚名,元代,上海博物馆,否
女,613eea08-4070-11ed-9adc-c934f75048ef,道子墨宝,佚名,宋代,克利夫兰艺术博物馆,是
女,614091aa-4070-11ed-9adc-c934f75048ef,万花春睡图,佚名,宋代,私人藏,否
女,61417264-4070-11ed-9adc-c934f75048ef,名绘集珍-摹顾恺之洛神赋,佚名,宋代,台北故宫博物院,是
女,61421ba6-4070-11ed-9adc-c934f75048ef,耿先生炼雪图,佚名,宋代,台北故宫博物院,是
女,614617a6-4070-11ed-9adc-c934f75048ef,道子墨宝人物白描画集50帧,佚名,宋代,克利夫兰艺术博物馆,是
女,61489d14-4070-11ed-9adc-c934f75048ef,天寒翠袖图,佚名,宋代,,否
女,6149293c-4070-11ed-9adc-c934f75048ef,大悲神咒佛像,佚名,清代,普林斯顿大学图书馆,否
女,614962e4-4070-11ed-9adc-c934f75048ef,大悲神咒佛像,佚名,清代,普林斯顿大学图书馆,否
女,61499872-4070-11ed-9adc-c934f75048ef,大悲神咒佛像,佚名,清代,普林斯顿大学图书馆,否
女,614b7a52-4070-11ed-9adc-c934f75048ef,宋哲宗昭慈圣献皇后像,佚名,宋代,台北故宫博物院,是
女,614ba9dc-4070-11ed-9adc-c934f75048ef,春宫图画册,佚名,明代,,否
女,61552912-4070-11ed-9adc-c934f75048ef,宋仁宗后坐像,佚名,宋代,台北故宫博物院,是
女,61580560-4070-11ed-9adc-c934f75048ef,柳枝观音像,佚名,明代,弗利尔美术馆,否
女,61587e32-4070-11ed-9adc-c934f75048ef,水月观音像,佚名,宋代,奈良国立博物馆,否
