分类,imageID,workName,authorName,dynasty,instName,公开版权
有男有女,2b676a94-5f3e-11ed-b1c1-2d612f358c7a,月下听琴图,佚名周文矩款(传),明代,克利夫兰艺术博物馆,是
有男有女,2b67a072-5f3e-11ed-b1c1-2d612f358c7a,山水花鸟人物图册,陈洪绶,明代,大都会博物馆,是
有男有女,2b680df0-5f3e-11ed-b1c1-2d612f358c7a,杨升庵簪花图,陈洪绶,明代,故宫博物院,否
有男有女,2b68126e-5f3e-11ed-b1c1-2d612f358c7a,乾隆观画图,郎世宁,清代,故宫博物院,否
有男有女,2b684fea-5f3e-11ed-b1c1-2d612f358c7a,杂画（十八开）,张路,明代,上海博物馆,否
有男有女,2b689ec8-5f3e-11ed-b1c1-2d612f358c7a,洛神图,佚名旧传晋顾恺之(传),宋代,佛利尔·赛克勒美术馆,否
有男有女,2b68a8d2-5f3e-11ed-b1c1-2d612f358c7a,佛说预修十王生七经图（三）,佚名,五代十国,黄岩博物馆,否
有男有女,2b68e5a4-5f3e-11ed-b1c1-2d612f358c7a,九歌图,佚名,宋代,波士顿艺术博物馆,否
有男有女,2b68e752-5f3e-11ed-b1c1-2d612f358c7a,三官图：天官,佚名,宋代,波士顿艺术博物馆,否
有男有女,2b692e7e-5f3e-11ed-b1c1-2d612f358c7a,摹楼璹蚕织图,程棨(传),元代,佛利尔·赛克勒美术馆,否
有男有女,2b694512-5f3e-11ed-b1c1-2d612f358c7a,骷髅幻戏图,李嵩,宋代,故宫博物院,否
有男有女,2b69548a-5f3e-11ed-b1c1-2d612f358c7a,洛神赋全图,佚名,宋代,故宫博物院,否
有男有女,2b698fe0-5f3e-11ed-b1c1-2d612f358c7a,老子授经图,佚名,元代,故宫博物院,否
有男有女,2b69e756-5f3e-11ed-b1c1-2d612f358c7a,诗经陈风十篇图,马和之,宋代,上海博物馆,否
有男有女,2b6a2a68-5f3e-11ed-b1c1-2d612f358c7a,司马槱梦苏小小图,刘元,元代,辛辛那提艺术博物馆,否
有男有女,2b6a2c52-5f3e-11ed-b1c1-2d612f358c7a,六道绘（六幅）,佚名,宋代,新知恩院,否
有男有女,2b6a63e8-5f3e-11ed-b1c1-2d612f358c7a,灸艾图,李唐,宋代,台北故宫博物院,是
有男有女,2b6a711c-5f3e-11ed-b1c1-2d612f358c7a,天女献花,刘松年,宋代,台北故宫博物院,是
有男有女,2b6a883c-5f3e-11ed-b1c1-2d612f358c7a,画如来说法图,宋人,宋代,台北故宫博物院,是
有男有女,2b6ad77e-5f3e-11ed-b1c1-2d612f358c7a,文会图,唐人,隋唐,台北故宫博物院,是
有男有女,611748f4-4070-11ed-9adc-c934f75048ef,十六应真图,梵隆,宋代,弗利尔美术馆,否
有男有女,611a6e1c-4070-11ed-9adc-c934f75048ef,扑枣图,佚名,宋代,台北故宫博物院,是
有男有女,61252cee-4070-11ed-9adc-c934f75048ef,卞庄子刺虎,佚名,宋代,台北故宫博物院,是
有男有女,6126dd1e-4070-11ed-9adc-c934f75048ef,F1919.172-FS-8140,佚名,宋代,弗利尔美术馆,否
有男有女,61296070-4070-11ed-9adc-c934f75048ef,胡笳十八拍图,佚名,宋代,大都会博物馆,是
有男有女,61351780-4070-11ed-9adc-c934f75048ef,十王图(十幅),陆信忠,宋代,奈良国立博物馆,否
有男有女,613ebbe6-4070-11ed-9adc-c934f75048ef,道子墨宝,佚名,宋代,克利夫兰艺术博物馆,是
有男有女,613f617c-4070-11ed-9adc-c934f75048ef,道子墨宝,佚名,宋代,克利夫兰艺术博物馆,是
有男有女,6141e47e-4070-11ed-9adc-c934f75048ef,西园雅集图,佚名,宋代,台北故宫博物院,是
有男有女,61429ffe-4070-11ed-9adc-c934f75048ef,乾隆帝岁朝行乐图轴,佚名,清代,故宫博物院,否
有男有女,61459db2-4070-11ed-9adc-c934f75048ef,道子墨宝人物白描画集50帧,佚名,宋代,克利夫兰艺术博物馆,是
有男有女,61461d6e-4070-11ed-9adc-c934f75048ef,道子墨宝人物白描画集50帧,佚名,宋代,克利夫兰艺术博物馆,是
有男有女,61466a62-4070-11ed-9adc-c934f75048ef,道子墨宝人物白描画集50帧,佚名,宋代,克利夫兰艺术博物馆,是
有男有女,614d9b2a-4070-11ed-9adc-c934f75048ef,颙琰万寿图像轴,佚名,清代,故宫博物院,否
有男有女,61535a9c-4070-11ed-9adc-c934f75048ef,春宫画册.十二幅.清.陈邦华绘.绢本设色.海外私人收藏,佚名,清代,,否
有男有女,615437c8-4070-11ed-9adc-c934f75048ef,消夏图,佚名,元代,苏州博物馆,否
有男有女,61546a4a-4070-11ed-9adc-c934f75048ef,百子图,佚名,宋代,克利夫兰艺术博物馆,是
有男有女,6156108e-4070-11ed-9adc-c934f75048ef,宋摹洛神赋图,佚名,宋代,故宫博物院,否
有男有女,61566afc-4070-11ed-9adc-c934f75048ef,摹顾恺之洛神赋图,佚名,宋代,弗利尔美术馆,否
有男有女,61593d7c-4070-11ed-9adc-c934f75048ef,释迦三尊图,佚名,元代,大都会博物馆,是
有男有女,6159a4ce-4070-11ed-9adc-c934f75048ef,十二月月令图,佚名,清代,台北故宫博物院,是
有男有女,6159bc20-4070-11ed-9adc-c934f75048ef,十二月月令图,佚名,清代,台北故宫博物院,是
有男有女,615a6576-4070-11ed-9adc-c934f75048ef,孔子圣迹图,佚名,明代,孔子博物馆,否
有男有女,615abf94-4070-11ed-9adc-c934f75048ef,孔子圣迹图,佚名,明代,孔子博物馆,否
有男有女,615c3e28-4070-11ed-9adc-c934f75048ef,如来说法图,佚名,宋代,台北故宫博物院,是
有男有女,615dad3a-4070-11ed-9adc-c934f75048ef,金阙玄元太上老君八十一化图卷,佚名,清代,,否
有男有女,61622a18-4070-11ed-9adc-c934f75048ef,夏景货郎图,佚名,明代,故宫博物院,否
有男有女,6162c252-4070-11ed-9adc-c934f75048ef,白描群仙像,佚名,元代,上海博物馆,否
有男有女,61654374-4070-11ed-9adc-c934f75048ef,民俗春宫画册,佚名,清代,,否
有男有女,61655a80-4070-11ed-9adc-c934f75048ef,民俗春宫画册,佚名,清代,,否
有男有女,6166bcb8-4070-11ed-9adc-c934f75048ef,歌乐图,佚名,宋代,,否
有男有女,616a0a08-4070-11ed-9adc-c934f75048ef,宋时大理国描工张胜温画梵像卷,张胜温,宋代,台北故宫博物院,是
有男有女,616a64c6-4070-11ed-9adc-c934f75048ef,梵像卷,张胜温,宋代,台北故宫博物院,是
有男有女,616abeee-4070-11ed-9adc-c934f75048ef,梵像卷,张胜温,宋代,台北故宫博物院,是
有男有女,616ad9b0-4070-11ed-9adc-c934f75048ef,大理国梵像卷,张胜温,宋代,台北故宫博物院,是
有男有女,616be486-4070-11ed-9adc-c934f75048ef,问道图,马远,宋代,,否
有男有女,616c03e4-4070-11ed-9adc-c934f75048ef,诗经豳风图卷,马远,宋代,克利夫兰艺术博物馆,是
有男有女,617430d2-4070-11ed-9adc-c934f75048ef,蚕事图,刘松年,宋代,台北故宫博物院,是
有男有女,617764c8-4070-11ed-9adc-c934f75048ef,蚕织图卷,梁楷,宋代,黑龙江省博物馆,否
有男有女,617ccfbc-4070-11ed-9adc-c934f75048ef,法海灵山图,李公麟,宋代,,否
有男有女,6180281a-4070-11ed-9adc-c934f75048ef,孝经图卷,李公麟,宋代,台北故宫博物院,是
有男有女,61804782-4070-11ed-9adc-c934f75048ef,孝经图,李公麟,宋代,大都会博物馆,是
有男有女,61806dac-4070-11ed-9adc-c934f75048ef,孝经图,李公麟,宋代,大都会博物馆,是
有男有女,61811ad6-4070-11ed-9adc-c934f75048ef,孝经图,李公麟,宋代,大都会博物馆,是
有男有女,61814ace-4070-11ed-9adc-c934f75048ef,孝经图,李公麟,宋代,大都会博物馆,是
有男有女,618430cc-4070-11ed-9adc-c934f75048ef,十六罗汉图(十幅),金大受,宋代,东京国立博物馆,否
有男有女,6188ae0e-4070-11ed-9adc-c934f75048ef,笳拍图全卷,龚开,宋代,弗利尔美术馆,否
有男有女,6188cb3c-4070-11ed-9adc-c934f75048ef,笳拍图全卷,龚开,宋代,弗利尔美术馆,否
有男有女,6189b7ea-4070-11ed-9adc-c934f75048ef,群贤博古图卷,赵伯驹,宋代,,否
有男有女,6199ae02-4070-11ed-9adc-c934f75048ef,文会图,赵佶,宋代,台北故宫博物院,是
有男有女,619c74e8-4070-11ed-9adc-c934f75048ef,清明易简图,张择端,宋代,台北故宫博物院,是
有男有女,619cccd6-4070-11ed-9adc-c934f75048ef,全景清明上河图,张择端,宋代,奥地利国家图书馆,否
有男有女,619d070a-4070-11ed-9adc-c934f75048ef,全景清明上河图,张择端,宋代,奥地利国家图书馆,否
