分类,imageID,workName,authorName,dynasty,instName,公开版权
点景人物,2b6745a0-5f3e-11ed-b1c1-2d612f358c7a,水乡清夏图,龚贤,清代,克利夫兰艺术博物馆,是
点景人物,2b6748e8-5f3e-11ed-b1c1-2d612f358c7a,曳杖过溪图 ,梅清,清代,大都会博物馆,是
点景人物,2b674adc-5f3e-11ed-b1c1-2d612f358c7a,仿古山水图（十二开）,梅清,清代,大都会博物馆,是
点景人物,2b6755e0-5f3e-11ed-b1c1-2d612f358c7a,虚阁晚凉图,唐寅,明代,四川博物院,否
点景人物,2b6756ee-5f3e-11ed-b1c1-2d612f358c7a,落霞孤鹜图,唐寅,明代,上海博物馆,否
点景人物,2b675720-5f3e-11ed-b1c1-2d612f358c7a,骑驴归思图,唐寅,明代,上海博物馆,否
点景人物,2b675784-5f3e-11ed-b1c1-2d612f358c7a,秋山行旅图,唐寅,明代,上海博物馆,否
点景人物,2b67581a-5f3e-11ed-b1c1-2d612f358c7a,山水图（八段）,唐寅,明代,大都会博物馆,是
点景人物,2b6761fc-5f3e-11ed-b1c1-2d612f358c7a,松溪横笛图,仇英,明代,南京博物院,否
点景人物,2b6765a8-5f3e-11ed-b1c1-2d612f358c7a,梧竹书堂图,仇英,明代,上海博物馆,否
点景人物,2b676b2a-5f3e-11ed-b1c1-2d612f358c7a,水阁雅集图,佚名马麟款(传),明代,圣路易斯艺术博物馆,否
点景人物,2b676c92-5f3e-11ed-b1c1-2d612f358c7a,江城送别图,佚名,明代,淮安市楚州博物馆,否
点景人物,2b676d28-5f3e-11ed-b1c1-2d612f358c7a,杜牧山行诗意图,佚名,明代,烟台市博物馆,否
点景人物,2b67737c-5f3e-11ed-b1c1-2d612f358c7a,芝阳东湖图,弘仁,清代,波士顿艺术博物馆,否
点景人物,2b6773ae-5f3e-11ed-b1c1-2d612f358c7a,骊山吊古图,文伯仁,明代,波士顿艺术博物馆,否
点景人物,2b677764-5f3e-11ed-b1c1-2d612f358c7a,归去来图,石涛,清代,大都会博物馆,是
点景人物,2b677dd6-5f3e-11ed-b1c1-2d612f358c7a,拙政园图诗册,文徵明,明代,大都会博物馆,是
点景人物,2b678182-5f3e-11ed-b1c1-2d612f358c7a,康熙南巡图（卷三：济南至泰山）,王翚等,清代,大都会博物馆,是
点景人物,2b6784fc-5f3e-11ed-b1c1-2d612f358c7a,江山渔乐图,王绂,明代,大都会博物馆,是
点景人物,2b6785ce-5f3e-11ed-b1c1-2d612f358c7a,江山渔乐图,王绂,明代,大都会博物馆,是
点景人物,2b6796cc-5f3e-11ed-b1c1-2d612f358c7a,山水图,陈洪绶,明代,大都会博物馆,是
点景人物,2b67a0ae-5f3e-11ed-b1c1-2d612f358c7a,山水花鸟人物图册,陈洪绶,明代,大都会博物馆,是
点景人物,2b67ad4c-5f3e-11ed-b1c1-2d612f358c7a,临古图（八开）,柳如是,清代,佛利尔·赛克勒美术馆,否
点景人物,2b67b814-5f3e-11ed-b1c1-2d612f358c7a,辋川图,宋旭,明代,旧金山亚洲艺术博物馆,否
点景人物,2b67baa8-5f3e-11ed-b1c1-2d612f358c7a,仿王蒙修竹远山图,王翚,清代,克利夫兰艺术博物馆,是
点景人物,2b67bbc0-5f3e-11ed-b1c1-2d612f358c7a,仿郭恕先画,朱耷,清代,克利夫兰艺术博物馆,是
点景人物,2b67bf76-5f3e-11ed-b1c1-2d612f358c7a,橅古图册,陈洪绶,明代,克利夫兰艺术博物馆,是
点景人物,2b67f81a-5f3e-11ed-b1c1-2d612f358c7a,卢鸿草堂十志图（十开）,王原祁,清代,故宫博物院,否
点景人物,2b67fe82-5f3e-11ed-b1c1-2d612f358c7a,华山图（二十九开）,王履,明代,故宫博物院,否
点景人物,2b67fff4-5f3e-11ed-b1c1-2d612f358c7a,华山图（二十九开）,王履,明代,故宫博物院,否
点景人物,2b6801ca-5f3e-11ed-b1c1-2d612f358c7a,华山图（二十九开）,王履,明代,故宫博物院,否
点景人物,2b6808aa-5f3e-11ed-b1c1-2d612f358c7a,淇澳图,夏昶,明代,故宫博物院,否
点景人物,2b6817be-5f3e-11ed-b1c1-2d612f358c7a,竹村雨意图,张复,明代,首都博物馆,否
点景人物,2b681b24-5f3e-11ed-b1c1-2d612f358c7a,仿赵孟𫖯林塘晚归图,董其昌,明代,福建博物院,否
点景人物,2b681e3a-5f3e-11ed-b1c1-2d612f358c7a,渔村小雪图,王翚,清代,广东省博物馆,否
点景人物,2b681f16-5f3e-11ed-b1c1-2d612f358c7a,关山秋霁图,王鉴,清代,广州艺术博物院,否
点景人物,2b682240-5f3e-11ed-b1c1-2d612f358c7a,烟江叠嶂图,黄鼎,清代,吉林省博物院,否
点景人物,2b6836ae-5f3e-11ed-b1c1-2d612f358c7a,唐寅诗意图,王翚,清代,旅顺博物馆,否
点景人物,2b683af0-5f3e-11ed-b1c1-2d612f358c7a,仿卢鸿草堂十景图（十开）,谢时臣,明代,沈阳故宫博物院,否
点景人物,2b684298-5f3e-11ed-b1c1-2d612f358c7a,白描阅兵图,李早,宋代,刘海粟美术馆,否
点景人物,2b6845ea-5f3e-11ed-b1c1-2d612f358c7a,华山图（十一开）,王履,明代,上海博物馆,否
点景人物,2b684806-5f3e-11ed-b1c1-2d612f358c7a,南村别墅图（十开）,杜琼,明代,上海博物馆,否
点景人物,2b684996-5f3e-11ed-b1c1-2d612f358c7a,南村别墅图（十开）,杜琼,明代,上海博物馆,否
点景人物,2b684b80-5f3e-11ed-b1c1-2d612f358c7a,两江名胜图（十开）,沈周,明代,上海博物馆,否
点景人物,2b68529c-5f3e-11ed-b1c1-2d612f358c7a,石湖清胜图,文徵明,明代,上海博物馆,否
点景人物,2b6867a0-5f3e-11ed-b1c1-2d612f358c7a,疏泉洗砚图,弘仁,清代,上海博物馆,否
点景人物,2b687074-5f3e-11ed-b1c1-2d612f358c7a,山水人物图（十二开）,金农,清代,上海博物馆,否
点景人物,2b68720e-5f3e-11ed-b1c1-2d612f358c7a,山水人物图（十二开）,金农,清代,上海博物馆,否
点景人物,2b6873b2-5f3e-11ed-b1c1-2d612f358c7a,范湖草堂图,任熊,清代,上海博物馆,否
点景人物,2b6875b0-5f3e-11ed-b1c1-2d612f358c7a,山水图（十二开）,虚谷,清代,上海博物馆,否
点景人物,2b6879a2-5f3e-11ed-b1c1-2d612f358c7a,松涧携琴图,吴谷祥,清代,上海博物馆,否
点景人物,2b687d12-5f3e-11ed-b1c1-2d612f358c7a,虎丘送客图,沈周,明代,天津博物馆,否
点景人物,2b68891a-5f3e-11ed-b1c1-2d612f358c7a,临流宴坐图,沈周,明代,重庆中国三峡博物馆,否
点景人物,2b6890ae-5f3e-11ed-b1c1-2d612f358c7a,午桥庄图,罗聘,清代,重庆中国三峡博物馆,否
点景人物,2b6891da-5f3e-11ed-b1c1-2d612f358c7a,山水图（四段）,吴昌硕,清代,重庆中国三峡博物馆,否
点景人物,2b6893a6-5f3e-11ed-b1c1-2d612f358c7a,潇湘八咏图,文徵明,明代,大都会博物馆,是
点景人物,2b689fcc-5f3e-11ed-b1c1-2d612f358c7a,仿燕文贵秋山萧寺图,佚名,宋代,大都会博物馆,是
点景人物,2b68a1d4-5f3e-11ed-b1c1-2d612f358c7a,商山四皓图,马远,宋代,辛辛那提艺术博物馆,否
点景人物,2b68a26a-5f3e-11ed-b1c1-2d612f358c7a,龙眠山庄图（八开）,李公麟,宋代,出光美术馆,否
点景人物,2b68a468-5f3e-11ed-b1c1-2d612f358c7a,蜀川图,佚名旧传李公麟(传),宋代,佛利尔·赛克勒美术馆,否
点景人物,2b68dc80-5f3e-11ed-b1c1-2d612f358c7a,松下抚琴图,佚名,宋代,北京画院,否
点景人物,2b68de42-5f3e-11ed-b1c1-2d612f358c7a,柳岸远山图,马远,宋代,波士顿艺术博物馆,否
点景人物,2b68e180-5f3e-11ed-b1c1-2d612f358c7a,江山秋色图,佚名,宋代,波士顿艺术博物馆,否
点景人物,2b68e1e4-5f3e-11ed-b1c1-2d612f358c7a,僧院访友图,佚名,宋代,波士顿艺术博物馆,否
点景人物,2b68eaa4-5f3e-11ed-b1c1-2d612f358c7a,雪江图,班惟志,元代,波士顿艺术博物馆,否
点景人物,2b68f378-5f3e-11ed-b1c1-2d612f358c7a,秋江待渡图,曹知白款(传),元代,出光美术馆,否
点景人物,2b68f6ca-5f3e-11ed-b1c1-2d612f358c7a,送郝玄明使秦书画图,胡舜臣,宋代,大阪市立美术馆,是
点景人物,2b68f92c-5f3e-11ed-b1c1-2d612f358c7a,观瀑图,佚名,宋代,大阪市立美术馆,是
点景人物,2b68fdc8-5f3e-11ed-b1c1-2d612f358c7a,溪山雪意图,刘松年(传),宋代,大都会博物馆,是
点景人物,2b68ff76-5f3e-11ed-b1c1-2d612f358c7a,松下高士图,马麟,宋代,大都会博物馆,是
点景人物,2b69049e-5f3e-11ed-b1c1-2d612f358c7a,春山曛暮图,佚名,宋代,大都会博物馆,是
点景人物,2b690ba6-5f3e-11ed-b1c1-2d612f358c7a,王维诗意图,唐棣,元代,大都会博物馆,是
点景人物,2b690de0-5f3e-11ed-b1c1-2d612f358c7a,黄楼图,夏永,元代,大都会博物馆,是
点景人物,2b691e2a-5f3e-11ed-b1c1-2d612f358c7a,高士观眺图,孙君泽(传),元代,东京国立博物馆,否
点景人物,2b6925b4-5f3e-11ed-b1c1-2d612f358c7a,松堂访友图,佚名,宋代,朵云轩,否
点景人物,2b692a96-5f3e-11ed-b1c1-2d612f358c7a,松杉行旅图,李山,宋代,佛利尔·赛克勒美术馆,否
点景人物,2b692bea-5f3e-11ed-b1c1-2d612f358c7a,山水图,阎次于,宋代,佛利尔·赛克勒美术馆,否
点景人物,2b6931f8-5f3e-11ed-b1c1-2d612f358c7a,山水图,佚名旧传唐曹元廓(传),元代,佛利尔·赛克勒美术馆,否
点景人物,2b693bf8-5f3e-11ed-b1c1-2d612f358c7a,牧牛图,毛伦,元代,根津美术馆,否
点景人物,2b6945d0-5f3e-11ed-b1c1-2d612f358c7a,柳溪卧笛图,梁楷,宋代,故宫博物院,否
点景人物,2b695192-5f3e-11ed-b1c1-2d612f358c7a,梧竹溪堂图,夏珪,宋代,故宫博物院,否
点景人物,2b695868-5f3e-11ed-b1c1-2d612f358c7a,盘车图,佚名,宋代,故宫博物院,否
