分类,imageID,workName,authorName,dynasty,instName,公开版权
男,2b674aa0-5f3e-11ed-b1c1-2d612f358c7a,仿古山水图（十二开）,梅清,清代,大都会博物馆,是
男,2b675068-5f3e-11ed-b1c1-2d612f358c7a,泼墨十二种（十二段）,徐渭,明代,故宫博物院,否
男,2b675324-5f3e-11ed-b1c1-2d612f358c7a,观梅图,唐寅,明代,故宫博物院,否
男,2b6753f6-5f3e-11ed-b1c1-2d612f358c7a,桐荫清梦图,唐寅,明代,故宫博物院,否
男,2b676cf6-5f3e-11ed-b1c1-2d612f358c7a,三圣图,佚名赵孟𫖯款(传),明代,孔府文物档案馆,否
男,2b6771a6-5f3e-11ed-b1c1-2d612f358c7a,溪桥策杖图,髡残,清代,灵岩山寺,否
男,2b677692-5f3e-11ed-b1c1-2d612f358c7a,归去来图,石涛,清代,大都会博物馆,是
男,2b67893e-5f3e-11ed-b1c1-2d612f358c7a,山水人物花卉图（十二开）,陈洪绶,明代,大都会博物馆,是
男,2b67bfb2-5f3e-11ed-b1c1-2d612f358c7a,橅古图册,陈洪绶,明代,克利夫兰艺术博物馆,是
男,2b67c2a0-5f3e-11ed-b1c1-2d612f358c7a,橅古图册,陈洪绶,明代,克利夫兰艺术博物馆,是
男,2b67d722-5f3e-11ed-b1c1-2d612f358c7a,打毯图,李麟,明代,维多利亚和阿尔伯特博物馆,否
男,2b67f64e-5f3e-11ed-b1c1-2d612f358c7a,山水人物图,石涛,清代,故宫博物院,否
男,2b680b52-5f3e-11ed-b1c1-2d612f358c7a,六尊者像（六开）,卢楞伽,隋唐,故宫博物院,否
男,2b681d04-5f3e-11ed-b1c1-2d612f358c7a,右军笼鹅图,陈洪绶,明代,广东省博物馆,否
男,2b68489c-5f3e-11ed-b1c1-2d612f358c7a,南村别墅图（十开）,杜琼,明代,上海博物馆,否
男,2b684edc-5f3e-11ed-b1c1-2d612f358c7a,杂画（十八开）,张路,明代,上海博物馆,否
男,2b6850d0-5f3e-11ed-b1c1-2d612f358c7a,杂画（十八开）,张路,明代,上海博物馆,否
男,2b6851fc-5f3e-11ed-b1c1-2d612f358c7a,杂画（十八开）,张路,明代,上海博物馆,否
男,2b687038-5f3e-11ed-b1c1-2d612f358c7a,山水人物图（十二开）,金农,清代,上海博物馆,否
男,2b688122-5f3e-11ed-b1c1-2d612f358c7a,王时敏像,曾鲸,明代,天津博物馆,否
男,2b68876c-5f3e-11ed-b1c1-2d612f358c7a,金农像,罗聘,清代,浙江省博物馆,否
男,2b68885c-5f3e-11ed-b1c1-2d612f358c7a,酸寒尉像,任颐,清代,浙江省博物馆,否
男,2b6898ce-5f3e-11ed-b1c1-2d612f358c7a,西旅贡獒图,吴道子,隋唐,故宫博物院,否
男,2b689a68-5f3e-11ed-b1c1-2d612f358c7a,五星二十八宿神形图,梁令瓒(传),隋唐,大阪市立美术馆,是
男,2b68a68e-5f3e-11ed-b1c1-2d612f358c7a,五百罗汉图：竹林致琛,周季常,宋代,波士顿艺术博物馆,否
男,2b68a6c0-5f3e-11ed-b1c1-2d612f358c7a,五百罗汉图：受胡输赆,周季常,宋代,波士顿艺术博物馆,否
男,2b68a788-5f3e-11ed-b1c1-2d612f358c7a,五百罗汉图：施饭饿鬼,林庭珪,宋代,波士顿艺术博物馆,否
男,2b68a83c-5f3e-11ed-b1c1-2d612f358c7a,佛说预修十王生七经图（一）,佚名,五代十国,黄岩博物馆,否
男,2b68e004-5f3e-11ed-b1c1-2d612f358c7a,番骑图,佚名,宋代,波士顿艺术博物馆,否
男,2b68e040-5f3e-11ed-b1c1-2d612f358c7a,人马图,佚名,宋代,波士顿艺术博物馆,否
男,2b68e3ec-5f3e-11ed-b1c1-2d612f358c7a,吕祖过洞庭图,佚名,宋代,波士顿艺术博物馆,否
男,2b68e7b6-5f3e-11ed-b1c1-2d612f358c7a,三官图：水官,佚名,宋代,波士顿艺术博物馆,否
男,2b68ea36-5f3e-11ed-b1c1-2d612f358c7a,五百罗汉图：渡水罗汉,周季常,宋代,波士顿艺术博物馆,否
男,2b68eef0-5f3e-11ed-b1c1-2d612f358c7a,树下双骑图,佚名旧传赵孟𫖯(传),元代,波士顿艺术博物馆,否
男,2b68f0ee-5f3e-11ed-b1c1-2d612f358c7a,罗汉图,陆仲渊,元代,常照皇寺,否
男,2b68f1b6-5f3e-11ed-b1c1-2d612f358c7a,罗汉图,陆仲渊,元代,常照皇寺,否
男,2b68fb98-5f3e-11ed-b1c1-2d612f358c7a,孝经图,李公麟,宋代,大都会博物馆,是
男,2b690142-5f3e-11ed-b1c1-2d612f358c7a,睢阳五老图：毕世长像,佚名,宋代,大都会博物馆,是
男,2b69089a-5f3e-11ed-b1c1-2d612f358c7a,芦叶达摩图,李尧夫,元代,大都会博物馆,是
男,2b690bd8-5f3e-11ed-b1c1-2d612f358c7a,归渔图,唐棣,元代,大都会博物馆,是
男,2b690fac-5f3e-11ed-b1c1-2d612f358c7a,耕稼图,佚名,元代,大都会博物馆,是
男,2b691042-5f3e-11ed-b1c1-2d612f358c7a,对月图,佚名,元代,大都会博物馆,是
男,2b691560-5f3e-11ed-b1c1-2d612f358c7a,无准师范半身像,佚名,宋代,东福寺,否
男,2b691a2e-5f3e-11ed-b1c1-2d612f358c7a,寒江独钓图,马远(传),宋代,东京国立博物馆,否
男,2b6920f0-5f3e-11ed-b1c1-2d612f358c7a,高阁观荷图,佚名,宋代,朵云轩,否
男,2b692654-5f3e-11ed-b1c1-2d612f358c7a,十六罗汉像（十六幅中的十二幅）,赵璚,宋代,法华经寺,否
男,2b692730-5f3e-11ed-b1c1-2d612f358c7a,十六罗汉像（十六幅中的十二幅）,赵璚,宋代,法华经寺,否
男,2b692d8e-5f3e-11ed-b1c1-2d612f358c7a,归牧图,佚名,宋代,佛利尔·赛克勒美术馆,否
男,2b69366c-5f3e-11ed-b1c1-2d612f358c7a,五祖荷锄图,法常(传),宋代,福冈市美术馆,否
男,2b69382e-5f3e-11ed-b1c1-2d612f358c7a,采芝图,佚名旧传宋马远(传),元代,冈山县立美术馆,否
男,2b69391e-5f3e-11ed-b1c1-2d612f358c7a,十六罗汉像（十六幅中的四幅）,佚名,宋代,高台寺,否
男,2b6946ac-5f3e-11ed-b1c1-2d612f358c7a,三高游赏图,梁楷,宋代,故宫博物院,否
男,2b694bd4-5f3e-11ed-b1c1-2d612f358c7a,豳风图,马和之(传),宋代,故宫博物院,否
男,2b695958-5f3e-11ed-b1c1-2d612f358c7a,春宴图,佚名,宋代,故宫博物院,否
男,2b695a66-5f3e-11ed-b1c1-2d612f358c7a,九歌图,佚名,宋代,故宫博物院,否
男,2b695bf6-5f3e-11ed-b1c1-2d612f358c7a,大傩图,佚名,宋代,故宫博物院,否
男,2b695c5a-5f3e-11ed-b1c1-2d612f358c7a,松荫谈道图,佚名,宋代,故宫博物院,否
男,2b695db8-5f3e-11ed-b1c1-2d612f358c7a,云峰远眺图,佚名,宋代,故宫博物院,否
男,2b695fde-5f3e-11ed-b1c1-2d612f358c7a,秋堂客话图,佚名,宋代,故宫博物院,否
男,2b69606a-5f3e-11ed-b1c1-2d612f358c7a,莲舟仙渡图,佚名,宋代,故宫博物院,否
男,2b697f96-5f3e-11ed-b1c1-2d612f358c7a,钟离仙像,许震,元代,故宫博物院,否
男,2b69a49e-5f3e-11ed-b1c1-2d612f358c7a,九歌图,张渥,元代,吉林省博物院,否
男,2b69c230-5f3e-11ed-b1c1-2d612f358c7a,九歌图,佚名,宋代,辽宁省博物馆,否
男,2b69c97e-5f3e-11ed-b1c1-2d612f358c7a,松泉高士图,佚名,元代,辽宁省博物馆,否
男,2b69cd0c-5f3e-11ed-b1c1-2d612f358c7a,释迦三尊图,陆仲涧(传),宋代,鹿王院,否
